,ID,Description,GeneRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042391,GO:0042391,regulation of membrane potential,133/812,8.33E-12,7.23E-10,4.98E-10,TAC1/CACNA1G/KCNQ1/KCNH2/PKP2/SEZ6/ACTN2/RIMS1/CHRNA3/IGSF9B/KCNK2/MTMR2/SLC9A1/NRCAM/STX1B/HCN2/CACNA1I/KCNK10/RIMS4/NTSR1/CHRNA4/SMAD7/FGF14/CBLN1/SLC17A7/MYH14/GRIN2D/KCNT1/DVL1/P2RX1/GABRA4/CUX2/KCNA1/OPRM1/BVES/FGF12/OPRD1/RGS4/CNR1/ADRA1A/KCNJ8/IFI6/KDR/KCNC1/ATP1B2/KCNA5/TRPM4/MTNR1B/NTRK3/ADCYAP1/CACNA1A/SH3GL1/CNIH3/PARP1/TMEM108/SNCA/ANK2/GABRA6/GABRB2/GLRA1/CACNA1B/DRD2/CACNA1C/ANK3/GPD1L/GRM1/GNAQ/KCNMA1/DGKI/KCNB1/GJD2/GRIN2C/SHANK1/SHANK2/ATP1A1/GRIK3/CLDN19/GRIK2/HCN1/CACNB2/KCNC2/GABRB3/NETO1/GRM5/KCNK9/KCNK3/SLC25A33/BCL2/KCNK7/NPAS4/CNIH2/BAIAP2/BNIP3/RIMS2/GRIN1/NRXN1/KCNE1/GPR88/GABRG3/SLC8A1/KCNQ3/KCNK12/KCNH7/NPY2R/GABRA5/MAPT/CCK/P2RX2/CACNA1H/CHRNG/SCN8A/SRC/BCO2/CACNA1E/WWP2/RYR2/GRIN3A/MIR1-1/GABBR1/CLIC1/GRIN2B/SCN4A/PTPN3/P2RX7/KCNN4/STX1A/ATP1A4/CD36/KCNK1/ATP1B1/SCN11A/CHRNA5/GPR35,133
GO:0035136,GO:0035136,forelimb morphogenesis,27/812,8.84E-12,7.53E-10,5.19E-10,TFAP2B/ALX4/TP63/HOXA9/TBX5/ZBTB16/TWIST1/RECK/RUNX2/HOXD9/HOXD10/ALDH1A2/TBX3/TFAP2A/OSR1/RSPO2/CACNA1C/ALX3/EN1/MSX1/SHH/OSR2/SHOX2/SALL3/HOXA11/MSX2/CRABP2,27
GO:0048880,GO:0048880,sensory system development,118/812,8.93E-12,7.53E-10,5.19E-10,WNT16/SOX8/PAX6/TFAP2B/ISL1/MYOM2/LAMC3/PRDM1/FGF10/PAX2/FAT1/KDM2B/VSX1/LAMA1/FGF9/CALB1/PPP1R13L/SLC17A7/GLI3/LHX2/GATA3/PITX3/PHOX2B/TCIRG1/TULP1/NR2E1/GRM6/GNAT1/EFEMP1/WNT6/CRYGD/OLFM3/TBX2/TWIST1/NEUROD4/BMP4/SOX9/BFSP1/BCL11B/ALDH1A2/COL5A1/RAB11FIP4/ATP8A2/RAX/MTNR1B/PDGFRA/SKIL/TFAP2A/FOXF2/MYO7A/STRA6/CYP1B1/SIX3/FBN2/KERA/NTRK3/ADAMTS18/EPHA2/DLX1/MYH15/SDK1/EGFR/VAX1/CACNA1C/POU4F2/POU4F1/BMP6/THY1/EPHB1/MEGF11/SKI/GRHL3/CPAMD8/LRP5/NEUROD1/PITX2/HCN1/SHH/OSR2/RET/FBN1/SMAD3/PTF1A/ZEB2/ITGAM/DSCAM/BCL2/PTPRM/SH3PXD2B/FOXC2/IRX5/SOX11/FJX1/TSKU/SOX1/FOXL2/SIX6/WT1/RXRA/FSCN2/MITF/COL4A1/NF1/DLL1/SMOC1/TRAF3IP1/BMPR2/SLC44A4/LHX1/USH1C/GRHL2/SLC7A11/AQP5/IHH/P2RY12/C1QA/SLITRK6/WNT7B,118
GO:0001657,GO:0001657,ureteric bud development,46/812,1.00E-11,8.33E-10,5.74E-10,SOX8/FGFR2/PAX2/FGFR1/SMAD7/SALL1/CALB1/SFRP1/GLI3/GATA3/FGF8/SIM1/FGF1/WNT6/SDC1/TCF21/BMP4/SOX9/PAX8/HOXD11/SMAD6/OSR1/SLIT2/ADAMTS16/KIF26B/SPRY1/BMPER/SHH/RET/SMAD3/GDNF/NPNT/BCL2/FOXC2/BASP1/CTNNBIP1/WT1/PBX1/PTCH1/FAT4/LHX1/HOXA11/SIX4/EPCAM/FOXJ1/GREB1L,46
GO:0001503,GO:0001503,ossification,124/812,1.26E-11,1.03E-09,7.12E-10,FGR/SOX8/TAC1/MRC2/WWTR1/CYP24A1/COL11A1/SBNO2/FGFR2/CBFB/HDAC4/TP63/GLI2/MMP2/GNAS/FGF9/MAPK3/SMPD3/XYLT1/IMPAD1/SFRP1/CLEC11A/COMP/DLX5/HOXA2/GLI3/MINPP1/KAZALD1/SUFU/COL1A1/ZBTB16/TCIRG1/MEF2D/TWIST1/EGR2/SNAI1/RUNX2/BMP4/SOX9/GFRA4/TRPM4/KREMEN2/KL/DHX9/GPNMB/TFAP2A/ITGA11/SMAD6/FBN2/COL2A1/DHH/TNFRSF11A/EPHA2/OSR1/SFRP2/EGFR/IGFBP3/CSGALNACT1/RSPO2/NOTCH1/BMP3/BMP6/WNT3A/MMP16/CREB3L1/SKI/LRP5/DHRS3/ALPL/PKDCC/NPPC/HAND2/SHH/OSR2/NELL1/GREM1/SMAD3/TPM4/LTBP3/AXIN2/NPNT/SHOX2/BCL2/ID4/PHOSPHO1/LEP/SH3PXD2B/FOXC2/SOX11/FAM20C/CTNNBIP1/PENK/EXT1/SLC8A1/PBX1/IFITM1/PTCH1/WWOX/SEMA4D/FAT4/RYR1/NF1/SND1/SMOC1/SMURF1/RIPPLY2/BMPR2/CLIC1/BGLAP/GDF10/PTGS2/SNX10/P2RX7/AREG/MSX2/ID1/TOB1/TUFT1/AHSG/IHH/CCR1/RFLNA/WNT7B/TNF,124
GO:0022604,GO:0022604,regulation of cell morphogenesis,144/812,1.31E-11,1.06E-09,7.32E-10,FGR/HECW1/SARM1/PLXND1/CD44/FSTL4/NGEF/SYT1/SEMA3C/PLXNA2/CAPZB/MAP2/RIMS1/CHRNA3/EPB41L3/MT3/DNM1L/NRCAM/DPYSL2/PALMD/PALM/HCK/ARHGEF7/CORO1A/ARHGEF18/MYH14/PTPRS/CACNG7/DVL1/CORO1C/CAPRIN2/CUX2/RASAL1/UST/BVES/NR2E1/PLXNA1/TLX2/EPHA4/TNR/NEUROG3/LRP1/MACF1/KDR/UNC13A/MAP1B/ZSWIM4/NGF/PLXNC1/RAC1/TBR1/SKIL/ITPKA/ADAM10/SHROOM3/RHOF/NTRK3/BARHL2/SLIT2/MYO10/RASA1/GNA12/DOCK5/FAM171A1/GAS2/PAK1/EPS8/POU4F2/FEZF2/THY1/TNIK/WNT3A/CHODL/FGD5/GRIP1/TIAM1/FMNL2/ITGB2/PDPN/NKX6-1/RYK/PDZD8/RET/ISLR2/CDC42EP5/SHOX2/SDC2/ZEB2/ROBO1/CDH2/DSCAM/KNDC1/DAB1/BRSK2/FBXW8/BAIAP2/ZNF135/RIMS2/BDNF/GRIN1/SLITRK1/CDH4/MYADM/FES/CSF1R/EFNA5/FMNL1/SEMA4B/CIB1/MAPT/DCC/SEMA4D/PARVB/SEMA4A/SRC/SIPA1L1/S100A10/KIF13B/DNM3/ITSN2/ARC/SMURF1/BMPR2/ATP10A/SYT3/PLXNA4/CUX1/CYFIP1/SRCIN1/NEFL/XK/SEMA4G/MAG/CCL2/BCL11A/ID1/APOE/CRABP2/FGD2/PTPRO/EFNA1/EPHB3/KEL/LST1,144
GO:0007498,GO:0007498,mesoderm development,57/812,1.38E-11,1.11E-09,7.63E-10,FGFR2/TP63/PAX2/FGFR1/ITGA8/DLL3/HCK/FOXF1/AMH/ETV2/MEST/LHX2/FGF8/HAND1/TLX2/SNAI1/BMP4/TCF15/ITGB4/KDM6B/TBX3/SECTM1/EPHA2/OSR1/SFRP2/CRB2/TBX6/HMGA2/ITGB1/POU4F1/WNT3A/ETS2/TAL1/EOMES/TBX20/SHH/SOX17/SMAD3/ZFPM2/OVOL1/FOXC2/IRX3/DAND5/EXT1/TBX1/IKZF1/POFUT2/MIR1-1/BMPR2/TRIM15/MIR150/ITGB3/LHX1/HOXA11/ITGA3/BTK/FOXH1,57
GO:0042471,GO:0042471,ear morphogenesis,52/812,1.54E-11,1.21E-09,8.33E-10,COL11A1/FGFR2/FGF10/GLI2/CELSR1/PAX2/FGFR1/ITGA8/POU4F3/MYO3A/FGF9/MAPK3/SALL1/DLX5/HOXA1/HOXA2/DVL1/GATA3/FGF8/NKX3-2/SOBP/PRRX1/KCNQ4/TWIST1/SOX9/PAX8/ATP8A2/SPRY2/TFAP2A/MYO7A/COL2A1/OSR1/LRIG1/ZIC1/WNT3A/GRHL3/ABR/MSX1/OSR2/GBX2/PRKRA/NEUROG1/TBX1/HMX3/HMX2/MAFB/SLC44A4/USH1C/SIX4/OTX1/SLITRK6/TIFAB,52
GO:0072163,GO:0072163,mesonephric epithelium development,46/812,1.57E-11,1.21E-09,8.33E-10,SOX8/FGFR2/PAX2/FGFR1/SMAD7/SALL1/CALB1/SFRP1/GLI3/GATA3/FGF8/SIM1/FGF1/WNT6/SDC1/TCF21/BMP4/SOX9/PAX8/HOXD11/SMAD6/OSR1/SLIT2/ADAMTS16/KIF26B/SPRY1/BMPER/SHH/RET/SMAD3/GDNF/NPNT/BCL2/FOXC2/BASP1/CTNNBIP1/WT1/PBX1/PTCH1/FAT4/LHX1/HOXA11/SIX4/EPCAM/FOXJ1/GREB1L,46
GO:0072164,GO:0072164,mesonephric tubule development,46/812,1.57E-11,1.21E-09,8.33E-10,SOX8/FGFR2/PAX2/FGFR1/SMAD7/SALL1/CALB1/SFRP1/GLI3/GATA3/FGF8/SIM1/FGF1/WNT6/SDC1/TCF21/BMP4/SOX9/PAX8/HOXD11/SMAD6/OSR1/SLIT2/ADAMTS16/KIF26B/SPRY1/BMPER/SHH/RET/SMAD3/GDNF/NPNT/BCL2/FOXC2/BASP1/CTNNBIP1/WT1/PBX1/PTCH1/FAT4/LHX1/HOXA11/SIX4/EPCAM/FOXJ1/GREB1L,46
GO:0051216,GO:0051216,cartilage development,77/812,1.64E-11,1.25E-09,8.58E-10,PAX7/RUNX3/CD44/COL11A1/PITX1/EVC/GLI2/FGF4/FGFR1/GNAS/TRIP11/FGF9/MAPK3/SMPD3/IMPAD1/COMP/HOXA3/HOXA5/GLI3/COL1A1/NKX3-2/ZBTB16/SOX6/HAND1/EFEMP1/PRRX1/MEF2D/HOXB3/MATN4/SNAI1/RUNX2/BMP4/SOX9/HOXD3/COL2A1/COL6A2/OSR1/SFRP2/CSGALNACT1/RSPO2/HMGA2/ADAMTS12/BMP3/BMP6/GDF6/ACAN/PKDCC/MSX1/NPPC/HAND2/UNCX/OSR2/VWA2/GREM1/SMAD3/LTBP3/AXIN2/SHOX2/CYTL1/CHST11/LEP/ALX1/ANXA2/HYAL3/COL14A1/HOXC4/BMPR2/COL11A2/HOXA11/SCIN/ITGB8/MSX2/CHI3L1/IHH/RFLNA/SNORC/WNT7B,77
GO:0060541,GO:0060541,respiratory system development,74/812,1.83E-11,1.38E-09,9.50E-10,FLT4/FGFR2/FGF10/SREBF1/GLI2/CELSR1/FGFR1/PGR/ADAMTS2/TBX5/LAMA1/FGF9/MAPK3/SMPD3/CRISPLD2/FOXF1/DLX5/HOXA5/AGR2/GLI3/LHX3/FGF8/PHOX2B/FGF1/TCF21/TBX4/BMP4/SOX9/FGFRL1/ALDH1A2/PDGFRA/SPRY2/TNS3/NKX2-8/NKX2-1/STRA6/ASCL1/CCDC40/EGFR/CRH/RSPO2/NOTCH1/HYDIN/SKI/SIM2/PDPN/PKDCC/SPRY1/SHH/LTBP3/ZFPM2/BASP1/SOX11/MSC/CCBE1/WT1/EIF4EBP1/STK40/ADAMTSL2/BMPR2/ITGA3/GRHL2/SIX4/ESRP2/SPDEF/ID1/LIF/FOXA1/FOXJ1/CHI3L1/ABCA12/SLC7A11/WNT7B/TNF,74
GO:0031589,GO:0031589,cell-substrate adhesion,113/812,1.91E-11,1.42E-09,9.80E-10,ITGAL/CD44/EPHA3/LAMC3/LIMCH1/MAP4K4/ACTN1/ACTN2/ITGA8/COL5A3/NID2/PXN/SLC9A1/LAMB1/ITGA6/ANGPT2/SORBS1/MADCAM1/FERMT1/ARHGEF7/MSLN/CORO1A/FOXF1/SFRP1/AGR2/COL1A1/VWF/CORO1C/GCNT2/BVES/SMOC2/ITGA4/NID1/HOXA7/LRP1/CCR7/MACF1/SGCE/KDR/HOXD3/ITGB4/RAC1/ITGA11/SMAD6/CUZD1/ITGB7/FBLN5/CDH13/TBCD/MUC4/RASA1/DOCK5/NOTCH1/FERMT3/ITGB1/ADAMTS12/SPOCK1/THY1/ANGPT1/EPHB1/TIAM1/RADIL/ZYX/LYPD5/ITGB2/PDPN/VCAM1/FBLN2/EDIL3/EGFLAM/FREM1/VWA2/SMAD3/TTYH1/FAM107A/NPNT/ONECUT1/PRKCE/BCL2/CD34/MYADM/EMILIN3/EFNA5/CIB1/NPY2R/PARVB/VWC2/AJAP1/NF1/LAMB3/SRC/S100A10/ITGBL1/ARL2/EMP2/ACTN3/ITGB3/SRCIN1/ITGA3/COL17A1/CEACAM6/ONECUT2/ID1/CD36/MYO1G/PARVG/PTPRO/OTOA/EFNA1/NDNF/EPHB3/CD3E/MMP12,113
GO:0098742,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,93/812,2.27E-11,1.67E-09,1.15E-09,ITGAL/CELSR3/CLDN18/CELSR1/IGSF9B/PCDHB4/PCDHA6/PCDHGA2/FAT1/CBLN1/PTPRS/MDGA1/PCDHB3/PCDHB7/PCDHB15/IGSF21/PCDH17/SLITRK3/FGFRL1/PALLD/GATA5/DSC3/CLDN10/PCDH8/IL1RN/PCDH10/CDH13/PTPRF/CNTN4/CDH18/SDK1/CRB2/KIRREL3/MPZL2/CDH22/ITGB1/CDH8/ROBO3/CLDN8/PCDH1/UNC5D/CLSTN2/CLDN14/ITGB2/NEXN/NTNG1/VCAM1/CADM3/CLDN19/LRFN5/RET/CDH16/ROBO1/ITGAM/CDH2/DSCAM/CLSTN1/BSG/DAB1/PTPRM/DSCAML1/SLITRK1/LGALS7B/CDH4/MYADM/NRXN1/CADM1/CLDN5/EFNA5/IL1RAP/PTPRT/FAT4/DCHS2/PCDHA7/PCDHA2/SCARF2/PCDHAC1/PCDHGB1/PCDHGA4/PCDH20/CD84/CDHR2/CDH17/CEACAM1/CEACAM6/CDHR5/CEACAM5/MAG/EPCAM/VSTM2L/DSG3/CLDN7/CLDN4,93
GO:0048839,GO:0048839,inner ear development,72/812,2.85E-11,2.07E-09,1.42E-09,KCNQ1/COL11A1/FGFR2/FGF10/GLI2/CELSR1/PAX2/FGFR1/ITGA8/KCNK2/POU4F3/MYO3A/TRIP11/FGF9/CALB1/DLX5/HOXA1/GLI3/LHX3/DVL1/GATA3/FGF8/PHOX2B/LIN7A/SOBP/EPHA4/PRRX1/KCNQ4/BMP4/SOX9/PAX8/ATP8A2/SPRY2/ANP32B/TFAP2A/MYO7A/ADAM10/COL2A1/NTRK3/LRIG1/GABRB2/NOTCH1/ZIC1/WNT3A/GRHL3/ABR/NEUROD1/BMPER/SHH/GJB2/GABRB3/GBX2/CYTL1/KCNK3/NEUROG1/TBX1/GABRA5/HMX3/HMX2/FAT4/DLL1/MAFB/SLC44A4/OC90/USH1C/PVALB/SIX4/ESRP1/OTX1/C1QB/SLITRK6/TIFAB,72
GO:0014706,GO:0014706,striated muscle tissue development,121/812,3.02E-11,2.17E-09,1.49E-09,CYP26B1/CFLAR/SOX8/PAX7/ISL1/MYOM2/PKP2/COL11A1/GPC1/FGFR2/HDAC4/PITX1/SEMA3C/SIRT6/ACTN2/FGFR1/TP73/KCNK2/NOX4/TBX5/SLC9A1/TLL2/ASB2/SMAD7/KLF5/FGF9/NDRG4/PPP1R13L/MYH14/MEOX2/FGF8/PHOX2B/SOX6/MYF6/BVES/HAND1/BCL9/MEF2D/RGS4/TNNT2/TCF21/ADRA1A/TBX2/TWIST1/EGR2/EFNB2/BMP4/HIVEP3/HOXD9/HOXD10/ALDH1A2/MYOD1/GATA5/KDM6B/MYH11/MYBPC3/PDGFRA/TBX3/SIK1/DMRTA2/ACTA1/MYH15/MEGF10/GTF3C5/NOTCH1/VAX1/PAK1/ITGB1/POU4F1/WNT3A/SORBS2/EPHB1/NRG1/SKI/ACTC1/EOMES/HEYL/TBX20/SHH/SOX17/ANKRD2/GREM1/SMAD3/SHOX2/VAMP5/ZFPM2/VGLL2/FOS/BCL2/NR1D2/FOXC2/SOX11/MSC/ZFPM1/NKX2-6/SLC8A1/NKX2-5/FOXL2/TBX1/WT1/SGCZ/RXRA/FGF3/P2RX2/DNER/PAX5/RYR1/NF1/MYH6/RYR2/DLL1/MIR1-1/MIR200B/ACTN3/XK/ERBB3/NEBL/SIX4/MYOM3/FOXH1/KEL,121
GO:0003007,GO:0003007,heart morphogenesis,89/812,3.61E-11,2.56E-09,1.76E-09,WNT16/PLXND1/ISL1/MYOM2/PKP2/COL11A1/FGFR2/SEMA3C/SIRT6/TBX5/SMAD7/NDRG4/FOXF1/PPP1R13L/GATA3/FGF8/SUFU/ZMIZ1/HAND1/TNNT2/NRP2/TBX2/TWIST1/SNAI1/BMP4/SOX9/FGFRL1/ALDH1A2/COL5A1/GATA5/MICAL2/MYBPC3/TBX3/SMAD6/LBX1/COL2A1/CCDC40/SLIT2/SFRP2/NOTCH1/TBX6/POU4F1/WNT3A/NRG1/ACTC1/DHRS3/MSX1/HEYL/SPRY1/PITX2/HAND2/NPY1R/NPY5R/TBX20/SHH/SOX17/SMAD3/AXIN2/SHOX2/ROBO1/ZFPM2/FOXC2/SOX11/ZFPM1/NKX2-5/TBX1/CLDN5/SLIT3/FLRT2/NPY2R/PTCH1/RXRA/FAT4/RYR1/EPHB4/MYH6/RYR2/DLL1/MIR1-1/SOX18/BMPR2/NOTO/GRHL2/MSX2/OVOL2/MYOM3/FOXH1/IHH/EFNA1,89
GO:0018212,GO:0018212,peptidyl-tyrosine modification,115/812,3.88E-11,2.72E-09,1.87E-09,FGR/MATK/ISL1/CNTN1/CD44/MAP2K3/FLT4/EPHA3/TNK2/LTK/FGFR2/TNFRSF1A/FGF10/EPHA8/FGFR1/EPHA6/NOX4/PTK6/ANGPT4/HCK/FLT1/MAPK3/CSK/EHD4/SFRP1/MET/FGF8/CAMKK2/IL23A/THBS4/CBLB/EFEMP1/EPHA4/ARHGEF2/ADRA1A/FLT3/MAP2K2/KDR/TPST2/EPO/SH3BP5/PDGFRA/EGF/IGF1R/NTRK3/CBLC/EPHA2/ABL2/EPHA5/SFRP2/PDGFC/TSLP/TTBK1/EGFR/IL18/BMP6/THY1/ANGPT1/LRRK1/WNT3A/EPHB1/NRG1/ACE/ITGB2/TAL1/JAK1/PKDCC/RYK/MST1R/IL22RA2/RET/GREM1/GRM5/ALK/PRKCE/LEP/DOK7/BDNF/STAP2/FES/CSF1R/EPHA10/EFNA5/SOCS3/HSF1/NTF3/CCK/SEMA4D/EPHB4/SRC/NTRK1/INPP5F/LYN/ITGB3/SRCIN1/BTK/GPRC5A/STYK1/ERBB3/PTPRC/AREG/ZAP70/EREG/LIF/CD36/SAMSN1/SLA/NCF1/CD300A/EFNA1/HCLS1/EPHB3/ALKAL1/CD3E/TNF,115
GO:0021545,GO:0021545,cranial nerve development,30/812,4.13E-11,2.86E-09,1.97E-09,ISL1/PAX2/POU4F3/SALL1/HOXA1/HOXA3/GLI3/PHOX2B/TCIRG1/NRP2/HOXB3/HOXB1/EGR2/NKX2-2/HOXD3/TFAP2A/POU4F1/EPHB1/PHOX2A/NAV2/HES3/NEUROG1/TBX1/NTRK1/MAFB/PLXNA4/ERBB3/SIX4/SLITRK6/TIFAB,30
GO:1903305,GO:1903305,regulation of regulated secretory pathway,63/812,4.46E-11,3.06E-09,2.11E-09,FGR/CACNA1G/BAIAP3/SYT7/APBA2/SYT1/CAMK2A/RIMS1/DNM1L/STX1B/CACNA1I/RIMS4/CHRNA4/FOXF1/NAPA/DVL1/P2RX1/SYT10/GNAI2/CNR1/ADRA1A/GIPC1/PRKCG/SYT5/SYT6/CPLX2/NOTCH1/DRD2/DGKI/KCNB1/ABR/ITGB2/ADCY1/CACNB2/PRKCB/CPLX1/PTAFR/ITGAM/CDK5R2/RIMS2/RPH3AL/CHRM2/FES/BACE1/HYAL3/CACNA1H/GRIN3A/SYT3/LYN/SYT13/CD84/FCGR2B/CEACAM1/HMOX1/STX1A/CCR2/ADGRE2/PRAM1/SYT8/F2RL1/CD300A/CHRNA5/ADORA2B,63
GO:0060349,GO:0060349,bone morphogenesis,50/812,4.66E-11,3.16E-09,2.18E-09,CYP26B1/FOXN3/FGFR2/FGF4/GNAS/TRIP11/SMPD3/IMPAD1/COMP/DLX5/GLI3/COL1A1/CDX1/MEF2D/TWIST1/MATN4/RUNX2/BMP4/SOX9/PAX1/TFAP2A/COL2A1/COL6A2/SFRP2/CSGALNACT1/BMP6/MMP16/SKI/LRP5/DHRS3/ALPL/MSX1/NPPC/OSR2/FREM1/VWA2/LTBP3/AXIN2/SHOX2/PHOSPHO1/NEUROG1/ANXA2/COL14A1/RIPPLY2/BMPR2/SP5/HOXA11/MSX2/IHH/TIFAB,50
GO:0018108,GO:0018108,peptidyl-tyrosine phosphorylation,114/812,4.88E-11,3.27E-09,2.26E-09,FGR/MATK/ISL1/CNTN1/CD44/MAP2K3/FLT4/EPHA3/TNK2/LTK/FGFR2/TNFRSF1A/FGF10/EPHA8/FGFR1/EPHA6/NOX4/PTK6/ANGPT4/HCK/FLT1/MAPK3/CSK/EHD4/SFRP1/MET/FGF8/CAMKK2/IL23A/THBS4/CBLB/EFEMP1/EPHA4/ARHGEF2/ADRA1A/FLT3/MAP2K2/KDR/EPO/SH3BP5/PDGFRA/EGF/IGF1R/NTRK3/CBLC/EPHA2/ABL2/EPHA5/SFRP2/PDGFC/TSLP/TTBK1/EGFR/IL18/BMP6/THY1/ANGPT1/LRRK1/WNT3A/EPHB1/NRG1/ACE/ITGB2/TAL1/JAK1/PKDCC/RYK/MST1R/IL22RA2/RET/GREM1/GRM5/ALK/PRKCE/LEP/DOK7/BDNF/STAP2/FES/CSF1R/EPHA10/EFNA5/SOCS3/HSF1/NTF3/CCK/SEMA4D/EPHB4/SRC/NTRK1/INPP5F/LYN/ITGB3/SRCIN1/BTK/GPRC5A/STYK1/ERBB3/PTPRC/AREG/ZAP70/EREG/LIF/CD36/SAMSN1/SLA/NCF1/CD300A/EFNA1/HCLS1/EPHB3/ALKAL1/CD3E/TNF,114
GO:0071805,GO:0071805,potassium ion transmembrane transport,78/812,4.93E-11,3.27E-09,2.26E-09,KCNG1/KCNQ1/KCNH2/SLC9A3/KCNAB2/GAL/TRPM5/ACTN2/KCNK2/OPRK1/SLC9A1/HCN2/KCNK10/KCNA7/ATP4A/KCNT1/KCNA1/SLC12A7/KCNQ4/RGS4/KCNJ8/KCNS1/SLC12A5/WNK4/TMEM175/KCNC1/ATP1B2/KCNA6/KCNA5/DPP6/KCNC3/SNAP25/MTNR1B/SLC24A4/ANK2/SLC12A9/FXYD4/ANK3/KCNJ1/KCNMA1/KCNS2/KCNJ6/KCNB1/ATP1A1/HCN1/KCNV1/WNK2/KCNC2/NETO1/KCNK9/KCNS3/KCNK3/KCNK7/DPP10/KCNA3/SLC9A4/KCNE1/KCNA4/GALR2/LRRC55/KCNQ3/KCNJ12/KCNK12/KCNH7/KCNQ5/KCNIP4/ATP4B/WWP2/STK39/MIR1-1/KCNN4/PKD2L1/SLC9A2/ATP1A4/KCNK1/ATP1B1/P2RY12/KEL,78
GO:0035115,GO:0035115,embryonic forelimb morphogenesis,23/812,5.35E-11,3.52E-09,2.42E-09,ALX4/TP63/HOXA9/TBX5/TWIST1/RECK/RUNX2/HOXD9/ALDH1A2/TBX3/TFAP2A/OSR1/RSPO2/CACNA1C/ALX3/EN1/MSX1/SHH/OSR2/SHOX2/HOXA11/MSX2/CRABP2,23
GO:0010959,GO:0010959,regulation of metal ion transport,121/812,6.27E-11,4.08E-09,2.81E-09,HECW1/CNTN1/KCNG1/KCNQ1/KCNH2/PKP2/KCNAB2/GAL/CAMK2A/ACTN2/OPRK1/GNAO1/REM1/TESC/NOS1/FXYD3/SLC9A1/JPH4/NTSR1/NKAIN4/FGF14/CORO1A/HOMER2/GCK/P2RX1/STIM2/KCNA1/GRM6/PDE4D/STC2/FGF12/GNAI2/OPRD1/RGS4/RAMP3/KCNS1/AHNAK/WNK4/KCNC1/ATP1B2/KCNA5/DPP6/EPO/MTNR1B/DYSF/EGF/ADCYAP1/STAC2/SIK1/PSEN2/OSR1/STAC/SNCA/ANK2/CRH/CACNA1B/DRD2/TMC2/FXYD4/CACNA1C/ANK3/GPD1L/THY1/JPH3/KCNS2/SPTBN4/ATP1A1/UCN/WNK2/CACNB2/KCNC2/NETO1/STIM1/SLN/PRKCE/BCL2/DPP10/GRIN1/KCNE1/GALR2/ANXA2/SLC8A1/NKX2-5/LRRC55/PLA2G6/PDE4B/KCNIP4/NKAIN3/P2RX2/SLC30A10/HTT/WWP2/RYR2/STK39/GJC2/MIR1-1/LIME1/TRIM27/FXYD7/LYN/PRSS8/ATP2C2/CD84/PTPN3/PTGS2/P2RX7/CEMIP/JPH1/LILRB1/CD33/CCL2/LILRB2/ATP1B1/CCR1/P2RY12/GRAMD2A/CRACR2B/GPR35/KEL/LILRA2/CCL4,121
GO:0030072,GO:0030072,peptide hormone secretion,86/812,7.22E-11,4.64E-09,3.20E-09,CD38/NOS2/CACNA2D2/BAIAP3/NADK/TFAP2B/SYT7/ISL1/PTPRN/GAL/MAP4K4/SREBF1/AACS/LTBP4/ITPR3/CHGA/HNF4A/SMPD3/SFRP1/GCK/TCIRG1/PASK/SLC2A1/CNR1/GHSR/ITPR2/LRP1/IL1B/PAX8/VGF/KCNA5/TRPM4/ANO1/SNAP25/GRP/MTNR1B/RAC1/IL1RN/ADCYAP1/CACNA1A/ILDR2/EPHA5/CRHBP/EGFR/CRH/TCF7L2/DRD2/CACNA1C/PRKCA/PTPRN2/SLC16A1/ADCY8/TIAM1/KCNB1/LRP5/NEUROD1/NKX6-1/UCN/CARTPT/KCNC2/RAB8B/MIDN/CPLX1/IRS1/KCNS3/TRH/PRKCE/ADCY5/BRSK2/LEP/RIMS2/RPH3AL/MAFA/EFNA5/PLA2G6/CACNA1E/ARL2/RASL10B/STX1A/NMU/FOXA2/HNF1A/PDX1/KISS1/FAM3D/TNF,86
GO:0060538,GO:0060538,skeletal muscle organ development,65/812,7.31E-11,4.65E-09,3.21E-09,CYP26B1/CFLAR/SOX8/PAX7/MYOM2/GPC1/HDAC4/PITX1/TLL2/ASB2/KLF5/MYH14/MEOX2/PHOX2B/MYF6/BVES/BCL9/MEF2D/TCF21/TWIST1/EGR2/HIVEP3/FGFRL1/HOXD9/HOXD10/MYOD1/STRA6/DMRTA2/ACTA1/MYH15/MEGF10/GTF3C5/NOTCH1/VAX1/WNT3A/EPHB1/SKI/EOMES/HEYL/SHH/SOX17/ANKRD2/SHOX2/VAMP5/VGLL2/FOS/BCL2/NR1D2/BASP1/SOX11/MSC/FOXL2/TBX1/WT1/P2RX2/DNER/PAX5/RYR1/NF1/DLL1/MIR1-1/ACTN3/XK/SIX4/KEL,65
